Word(s),Spoken Form (If Different)

nmap,N map

under-documented,under documented

nmap

admin

Cisco

Citrix

VPN

DNS

Minecraft

Cursorless

embedding

subby

PCA

lambda

maths

p value,pea value

null hypothesis

Collinearity

Heteroscedasticity

Heteroscedastic

AIC

BIC


